date,RAD,TMAX,TMIN,RAIN,DEWP,WIND
19349,15.4,36,11.3,0.1,49.2,72.9
19350,16,36.6,11.5,0,49.2,71.6
19351,15.9,37.1,12,0.1,56.2,71.4
19352,15.7,35.5,10.7,0.1,51.8,70.2
19353,16.3,35.8,10.7,0.1,68.3,70.1
19354,15.9,34.8,9.4,0.1,62.2,68
19355,15.8,34.6,10.1,0,64.8,69
19356,15.3,34.8,11.3,0.1,71.7,70
19357,16.3,35.6,10.6,0,82.1,68.6
19358,16.7,36,10.4,0.1,74.3,68
19359,16.8,35.9,8.7,0,57,67.8
19360,16.2,36.4,10.6,0.1,63.1,68
19361,14.9,34.9,11.3,0.1,48.4,74.1
19362,14.6,35,12.4,0.1,45.8,73.2
19363,15.2,35,10.2,0.1,65.7,69.1
19364,15.8,34.5,10,0.1,75.2,66.2
19365,16.5,33.7,8.7,0.1,88.1,63.7
